# Title: Install Community Content,,,,,,,,,,,,,,,,,,,,,,,,,
"# Description: This option loads Community content on the publish instance for the primary Community functions such as Blogs, Forums, Calendars",,,,,,,,,,,,,,,,,,,,,,,,,
# The following lines are joining a few users to the site previously created,,,,,,,,,,,,,,,,,,,,,,,,,
SiteMembers,/content/we-retail/us/en/community/configuration.json,addMembers,weston.mccall@dodgit.com,addMembers,aaron.mcdonald@mailinator.com,addMembers,jason.werner@dodgit.com,addMembers,ryan.palmer@spambob.com,addMembers,josh.bradley@pookmail.com,addMembers,rebekah.larsen@trashymail.com,addMembers,andrew.schaeffer@trashymail.com,addMembers,donna.billups@pookmail.com,addMembers,boyd.larsen@dodgit.com,addMembers,emily.andrews@mailinator.com,addMembers,felicia.carter@trashymail.com,addMembers,ashley.thompson@spambob.com
NotificationPreference,/content/we-retail/us/en/community/notifications/preferences/jcr:content/content/primary/subscriptionpreferences.social.json,,,,,,,,,,,,,,,,,,,,,,,,
aaron.mcdonald@mailinator.com,0,notificationCategorySettings.email.privatemessaging.enable,TRUE,notificationCategorySettings.email.usercontents.votes,TRUE,notificationCategorySettings.email.usercontents.comments,TRUE,notificationCategorySettings.email.followcontents.enable,TRUE,notificationCategorySettings.email.followusers.enable,TRUE,,,,,,,,,,,,,,
weston.mccall@dodgit.com,0,notificationCategorySettings.email.privatemessaging.enable,TRUE,notificationCategorySettings.email.usercontents.votes,TRUE,notificationCategorySettings.email.usercontents.comments,TRUE,notificationCategorySettings.email.followcontents.enable,TRUE,notificationCategorySettings.email.followusers.enable,TRUE,,,,,,,,,,,,,,
emily.andrews@mailinator.com,0,notificationCategorySettings.email.privatemessaging.enable,TRUE,notificationCategorySettings.email.usercontents.votes,TRUE,notificationCategorySettings.email.usercontents.comments,TRUE,notificationCategorySettings.email.followcontents.enable,TRUE,notificationCategorySettings.email.followusers.enable,TRUE,,,,,,,,,,,,,,
"# The folllowing lines initialize the notifications, post 6.1 FP3",,,,,,,,,,,,,,,,,,,,,,,,,
Notification,/content/we-retail/us/en/community/forum/_jcr_content/content/primary/forum/subscriptions.social.json,,,,,,,,,,,,,,,,,,,,,,,,
aaron.mcdonald@mailinator.com,0,TRUE,TRUE,TRUE,/content/we-retail/us/en/community/forum/jcr:content/content/primary/forum,,,,,,,,,,,,,,,,,,,,
weston.mccall@dodgit.com,0,TRUE,FALSE,FALSE,/content/we-retail/us/en/community/forum/jcr:content/content/primary/forum,,,,,,,,,,,,,,,,,,,,
Notification,/content/we-retail/us/en/community/profile/_jcr_content/content/primary/userprofile/subscriptions.social.json,,,,,,,,,,,,,,,,,,,,,,,,
aaron.mcdonald@mailinator.com,0,TRUE,FALSE,FALSE,weston.mccall@dodgit.com,,,,,,,,,,,,,,,,,,,,
aaron.mcdonald@mailinator.com,0,TRUE,FALSE,FALSE,rebekah.larsen@trashymail.com,,,,,,,,,,,,,,,,,,,,
aaron.mcdonald@mailinator.com,0,TRUE,FALSE,FALSE,ashley.thompson@spambob.com,,,,,,,,,,,,,,,,,,,,
aaron.mcdonald@mailinator.com,0,TRUE,FALSE,FALSE,andrew.schaeffer@trashymail.com,,,,,,,,,,,,,,,,,,,,
"# The following lines are upgrading and recreating the main ""Forum"" page and forum content for a Community Site named /communities",,,,,,,,,,,,,,,,,,,,,,,,,
Forum,/content/we-retail/us/en/community/forum/jcr:content/content/primary/forum.social.json,,,,,,,,,,,,,,,,,,,,,,,,
emily.andrews@mailinator.com,0,Outdoor activities web sites,Is this the only site to discuss outdoors activities?,,,,,,,,,,,,,,,,,,,,,,
josh.bradley@pookmail.com,1,Reply,"I believe so, and it is using an amazing technology named AEM Communities behind the scene.",iStock_000010857602Small.jpg,,,,,,,,,,,,,,,,,,,,,
emily.andrews@mailinator.com,1,Reply,No idea what you are talking about!,,,,,,,,,,,,,,,,,,,,,,
josh.bradley@pookmail.com,1,Reply,"I see. This reply should actually marked as spam because of the use of profanities like ass or fuck (sorry, for testing only!)",,,,,,,,,,,,,,,,,,,,,,
aaron.mcdonald@mailinator.com,2,Deny,,,,,,,,,,,,,,,,,,,,,,,
andrew.schaeffer@trashymail.com,0,Longstep Trek hiking boots,"I am having trouble with my Longstep Trek hiking boots. I tighten the laces as tight as I can, but they still loosen up after only an hour of use. Is there a trick to this that I need to know about? Is this a defect that is covered by my warranty?",,,,,,,,,,,,,,,,,,,,,,
felicia.carter@trashymail.com,1,Reply,"Same on my end, not the best product as far as I see, I should have checked the reviews before buying!",,,,,,,,,,,,,,,,,,,,,,
andrew.schaeffer@trashymail.com,2,Reply,"Same here, good point felicia!",,,,,,,,,,,,,,,,,,,,,,
jason.werner@dodgit.com,1,Reply,"In that case, you may have just bought a pair of boots that can't do what you expect them to, which is to stay tight for an entire hike. ",,,,,,,,,,,,,,,,,,,,,,
aaron.mcdonald@mailinator.com,1,Reply,"I agree with Jason on this one. They are called $250 boots But honestly, if you are going to spend the money, get the upper model.",,,,,,,,,,,,,,,,,,,,,,
ashley.thompson@spambob.com,1,Reply,"Andrew, we are sorry that you are having trouble with your Longirod Trek poles. The locking mechanism is covered by your warranty. You can either receive a full refund or get replacement poles if yours are defective. We have already emailed you detailed information about getting this issue resolved at your convenience.",,,,,,,,,,,,,,,,,,,,,,
rebekah.larsen@trashymail.com,0,Delta Force GPS,Does anyone know if the Delta Force GPS monitor can log multiple runs?,,,,,,,,,,,,,,,,,,,,,,
aaron.mcdonald@mailinator.com,1,Reply,"Yes. The Delta Force is capable of storing ten runs at a time. Your runs logged will detail the time of the run, distance traveled, and elevation gained or lost. It's a pretty handy little function that I use all the time.",,,,,,,,,,,,,,,,,,,,,,
rebekah.larsen@trashymail.com,1,Reply,"Okey dokey, thanks!",,,,,,,,,,,,,,,,,,,,,,
josh.bradley@pookmail.com,0,Snorkeling Equipment,"I would like to know the materials generally used in the snorkeling equipments. Unfortunately, I am allergic to silicone and need to make sure the strap around the neck won't be a problem for me.",,,,,,,,,,,,,,,,,,,,,,
aaron.mcdonald@mailinator.com,1,Reply,"These days, the snorkeling equipments do use silicone, so if you have a silicone allergy then we recommend not purchasing these products.",,,,,,,,,,,,,,,,,,,,,,
donna.billups@pookmail.com,1,Reply,"One of my kids has a silicone allergy, so fortunately for you I have already done the research on this! If you are out there looking for snorkeling fins, you won't find much in the silicone free department. However, if you look around for SCUBA fins, you will find a pretty decent selection. The SCUBA fins will offer a heel strap that clicks to tighten, and is made entirely of plastic. The only drawback: you will need to wear neoprene dive boots. They are quite comfy and keep your feet warm, but it is another expense.",,,,,,,,,,,,,,,,,,,,,,
josh.bradley@pookmail.com,1,Reply,"Aaron, thanks for the reply. I will definitely look into getting SCUBA fins. I've already accepted the fact that I will have to pay extra on a few things here and there because of my allergy, and this option doesn't sound unreasonable at all. I'm wondering if I can just buy the booties and wear them with silicone snorkeling fins since my skin wouldn't come in contact with the fins at all. Maybe that would save me some money_..",,,,,,,,,,,,,,,,,,,,,,
josh.bradley@pookmail.com,1,Reply,"Donna, unfortunately that will not work. Snorkeling fins are generally too narrow around the ball of your foot to allow for a bootie. It would be pretty uncomfortable if it were even possible, in my opinion.",,,,,,,,,,,,,,,,,,,,,,
felicia.carter@trashymail.com,1,Reply,Worst customer experience ever on my end. Moving on!,,,,,,,,,,,,,,,,,,,,,,
donna.billups@pookmail.com,1,Reply,Merci pour toutes ces informations ! Cela m'est tres utile.,,,,,,,,,,,,,,,,,,,,,,
emily.andrews@mailinator.com,0,Elastic super long longboard,Is the Elastic super long longboard surfboard wood or glass?,,,,,,,,,,,,,,,,,,,,,,
ashley.thompson@spambob.com,1,Reply,"Com'on, it's made of Epoxy!",,,,,,,,,,,,,,,,,,,,,,
weston.mccall@dodgit.com,2,Flag,,,,,,,,,,,,,,,,,,,,,,,
aaron.mcdonald@mailinator.com,1,Reply,"Actually, I think it's fiberglass",,,,,,,,,,,,,,,,,,,,,,
donna.billups@pookmail.com,1,Reply,"You may also want to check out FutureBoards. It's like epoxy, but crazy light without any stiffness.",,,,,,,,,,,,,,,,,,,,,,
emily.andrews@mailinator.com,1,Reply,Donna is right about this as long as you are okay shelling out big $$$.,,,,,,,,,,,,,,,,,,,,,,
weston.mccall@dodgit.com,0,Snowboard ratings,I'm interested in the techniques used to rate snowboards. Any info to share on this topic?,,,,,,,,,,,,,,,,,,,,,,
aaron.mcdonald@mailinator.com,1,Reply,I guess you'll have to reach out to one of these magazines that do the ratings whenever a new product is released. Must be a fun job to have!,,,,,,,,,,,,,,,,,,,,,,
felicia.carter@trashymail.com,1,Reply,"I know a few folks out there, I'll reach out to you via private message.",,,,,,,,,,,,,,,,,,,,,,
weston.mccall@dodgit.com,1,Reply,Thank you Felicia / Aaron!,,,,,,,,,,,,,,,,,,,,,,
aaron.mcdonald@mailinator.com,0,Pinetree gloves,I would like to know if there is an warmth rating for the Pinetree gloves. Does anyone know where I can find this info?,,,,,,,,,,,,,,,,,,,,,,
ashley.thompson@spambob.com,1,Reply,"I bought these gloves and on the packaging it reads, ""The Sequoia are made of a fully reinforced, singular kevlar structure that disperses impact across multiple nerves between the vents for maximum protection."" It doesn't say anything specific about an impact rating, like a numerical value, but I hope that helps.",,,,,,,,,,,,,,,,,,,,,,
andrew.schaeffer@trashymail.com,1,Reply,Our gloves are put through rigorous impact tests to ensure that all our products meet the most stringent safety standards. To test our gloves we wear them for one year long and see how it goes.,,,,,,,,,,,,,,,,,,,,,,
aaron.mcdonald@mailinator.com,1,Reply,"Thanks Ashley, Andrew!",,,,,,,,,,,,,,,,,,,,,,
rebekah.larsen@trashymail.com,0,Best maps for hiking?,"I want to buy my husband the best hiking maps as a gift. He is an avid hiker and is always talking about how great it would be to have some of those. I don't know a lot about the options available out there, and I am hoping for a little advice backed by experience.",,,,,,,,,,,,,,,,,,,,,,
ryan.palmer@spambob.com,1,Reply,I am currently using the World Maps collection. After about 2 years I can honestly say that I am impressed. The precision is accurate and since it is a high quality set of maps with all the normal details you would expect of a set of maps,,,,,,,,,,,,,,,,,,,,,,
weston.mccall@dodgit.com,1,Reply,"Why do you need maps these days, go get a GPS! Or use your phone!",,,,,,,,,,,,,,,,,,,,,,
rebekah.larsen@trashymail.com,1,Reply,"Ryan thanks for the info, I'll definitely check out these maps. Weslton, I like the idea of getting a GPS watch also. I think he'll be less likely to deteriorate on the trails.",,,,,,,,,,,,,,,,,,,,,,
Blog,/content/we-retail/us/en/community/blog/jcr:content/content/primary/blog.social.json,,,,,,,,,,,,,,,,,,,,,,,,
emily.andrews@mailinator.com,0,"Yes, I ski like a girl","To get the most out of ski season, you should follow a few simple rules. Here are a few of my best tips for women (or indeed anyone) when hitting the slopes or trails.",skigirl.jpg,we-retail:activity/skiing,"Cross-country skiing: Warming up. Don't discount the value of a proper warm-up. If you step out in to the cold and immediately start to exert yourself too much, you are much more likely to get injured. A quick warmup and stretch can work wonders!",Dress for the weather. But not too warmly. Remember that you need to dress warmly enough to be comfortable but not so warmly that you overheat. The best strategy is to layer your clothes so you can adjust them as needed. Alpine skiers should be especially aware of this since while sitting in the chairlift you need to keep warm but when skiing down the piste may not need so much insulation.,Keep hydrated. The main mistake many people make during winter sports is to think that in the cold you don't need as much water. Nothing could be further from the truth. The best solution is to bring a long small thermos of sweetened tea. This is especially important for cross-country skiers.,"Rewards. This season, We.Retail-Outdoors wants to make sure you have everything you need for a great skiing experience. Enter the coupon code 'GIRLSKI' into your cart for a $10 discount. Shop now.",,,,,,,,,,,,,,,,
rebekah.larsen@trashymail.com,1,Reply,So do I!,,,,,,,,,,,,,,,,,,,,,,
emily.andrews@mailinator.com,0,Going for Gold,The latest from the men's Olympic beach volleyball team. We.Retail is a proud sponsor of the Erehwon Olympic beach volleyball team.,goinggold.jpg,,"going-for-gold: In the last Olympic games in Beijing the team did great, winning five gold medals. They are now looking forward to competing in London in 2012. So far this year they have played exhibition games in Paris, New York, Frankfurt and Tokyo. Here are the highlights from that tour:",Erehwon vs. Erehwemos in New York: A great game was played by both sides with Erewhon edging out their long-time rivals 10 points to 8.,Erehwon vs. Erehwesle in Paris: A new matchup! Meeting for the first time in the international circuit the Erehweslians were beaten by our team in closely fought game 12 to 11.,Erehwon vs. Erehwyna in Frankfurt: An exciting game all around with Erehwon triumphing 13 to 9.,"Erehwon vs. Erehwemos in Tokyo: The rivalry continues! Erehwemos dug deep somewhere and no matter what they did the Erehwon team got nowhere! The final score: Erehwon 0, Erehwemos 7. Ouch! But our boys in will be back. The season isn't over!","Support the Team. This season, We.Retail-Outdoors is offering a $10 discount to faithful Erehweslians. Simply enter the coupon code 'GOGOLD' into your cart. Shop now.",,,,,,,,,,,,,,
emily.andrews@mailinator.com,0,Summer Training,See what our own staff members do to beat the heat.,summertraining.jpg,we-retail:activity/surfing,We asked our staff to give us their tips for summer training. Here are some of the responses:,"Heidi: ""I like to go running in the evening when things cool down. I usually wear my Mombasa trainers because they have the best support.""","Jonah: ""When I go biking I ride a We.Retail Cajamara 27 speed. And I always wear my Tacna helmet!""","Zoltan: ""I'm a surfer. When I hit the beach on the Big Island I have to be prepared. So, I work out regularly and make sure my board is in good shape. Also, remeber to always check for sharks!""","Ingrid: ""I grew up in the mountains so in the winter I ski, but in the summer I go hiking. Obviously the most important thing to have is a good pair of hiking boots. Make sure they have a stiff sole and lot's of ankle support. You maz thing running shoes are good enough, but 10 minutes covering rocky uneven ground and you'll wish you'd brought the right equipment""","Be PreparedTo make sure you have the right equipment this summer, We.Retail-Outdoors is offering a $10 discount. Simply enter the coupon code 'SUMMERTRAIN' into your cart. Shop now.",,,,,,,,,,,,,,
emily.andrews@mailinator.com,0,Layer It On,"If there is one question we get the most concerning our winter sports and recreation products it's this: ""What's the best way to keep warm?"" And the answer is three simple words: ""layering, layering, layering!""",layeriton.jpg,we-retail:activity/skiing,Layering helps you stay warm and comfortable in a number of ways:,It traps insulating air between the layers,"It wicks away moisture from your skin, keeping you dry. And keeping dry is an important part of keeping warm.","Compared to one thick layer, multiple thiner layers let you adapt to circumstances by removing or opening an out layer when you get too hot.",In most cases three layers are optimal:,A base layer next to your skin that draws away perspiration. The most common materials for this layer are wool or synthetics like polyesther or microfibre fabrics. At We.Retail we recommend long underwear made from Merino wool. It has excellent wicking ability combined with a natural softness that won't irritate your skin like other wools sometimes do. It is also naturally resistant to odours.,"An insulating layer. This should be made of a breatable insulation like a wool, fleece or down jacket. Depending on the situation we recommend either fleece or down. Fleece provides good insulation and absorbs very little moisture. Down on the other hand provides even better insultaion but is more absorabnt of water. For moderate cold fleece is sufficient, but in very cold dry conditions a down jacket with a thinner fleece layer underneath is the best.","A shell. The shell should be waterproof or at least water-resistant but breatable. We recommend Nortex material. It is waterproof but has micropores that allows water vapour out. In less extreme settings, a breathable polyesther shell can also be used, but these are water-resistant, not truly waterproof. Plastic raincoats and the like should be avoided. They trap moisture in your clothes and next to your skin and before long you are soaking wet and cold.",Short of Layers? We.Retail-Outdoors has options for every need. Enter the coupon code 'LAYER' into your cart for a $10 discount! Shop now.,,,,,,,,,,,
rebekah.larsen@trashymail.com,1,Reply,"Great post, thank you Emily!",,,,,,,,,,,,,,,,,,,,,,
ryan.palmer@spambob.com,1,Reply,"Going skiing next week-end, very timely, love it!",,,,,,,,,,,,,,,,,,,,,,
andrew.schaeffer@trashymail.com,1,Reply,Thanks for taking the time to post this article. +1!!!,,,,,,,,,,,,,,,,,,,,,,
emily.andrews@mailinator.com,0,Aloha spirits in Northern Norway,"Steep mountain sides surround us, like wise trolls from a distant timeline, weathered and worn by long-gone glaciers, green moss now covering the black rock. White sheep forage on steep grass, defying the chilling winds funneled by the deep valley. The subtle hues of the arctic circle are welcoming, comfortable on the eyes. When rare sunrays pierce through the low clouds, the scenery reveals its vibrancy, as the waves reflect a translucent cyan blue before crashing loudly onto white sand. A small but playful groundswell is building, the offshore breeze grooming playful lines down the point, making for welcoming conditions for acclimatizing to cold water and thick neoprene. Knowing it is our last surf before a few days of hard wind, we take full advantage out of every ripple the North Atlantic Ocean sends our way. Tomorrow this place will have taken on a very different, much more hostile appearance.",,we-retail:activity/hiking,isDraft,"The front is due to arrive any hour now, weather charts calling for anything in between regular bad weather and full arctic storm. In our fishing cabin in the quaint fiord, weather and surf forecast websites are refreshed hourly, for any update or hint on where to find the most manageable conditions. Wetsuits dried and ready, fresh wax coat on the surfboards. Tents are inspected, every seam scrutinized. To properly score in this part of the world, equipment means everything, and any inconsistency can ruin a session, the whole trip even. As our social media devices are put on sleep mode and reading lamps are switched off, the wind grows in intensity, rattling our windows through the night. Every surfer knows the feeling of combined anxiety and excitement, the questions that linger in our minds while falling asleep before a swell. Tomorrow they will be answered; we tell each other before updating the charts just one last time.","The morning after the winds have subsided, and when arriving at a secret coastline we have been given directions to, we are greeted by clean waves, improving with the incoming tide. A few cars parked in the grassy field outside the quiet farm village, and local surfers getting changed are signs that in 2015, no surf spots are kept away from satellite photos and internet forums. Still, there are enough of waves to keep us all warm in the frigid line-up. The media crew on the beach is doing their best to keep dry. The rain keeps hammering down; to a point where little freshwater streams start flooding the field, and cameras start breaking down. If finding good surf this far north in October is a daunting task, documenting it is proving even more difficult. It's easy to mistake the athletes in the water for the tough ones; stripping naked in near freezing temps and paddling out into the North Atlantic Ocean to get their fix of far-traveled energy. Instead, the real heroes are often the ones on the beach, stumbling on slippery rocks, wearing layers upon layers of technical clothing, cameras in plastic bags, fighting the elements to get the shot, all to make the trip ""worth it"". Even if the true reward is in the waves surfed, without documentations they are just memories, and in a time where success is measured in thumbs-up icons and visitor stats, the golden memories of the moments you shared in the water are no longer enough, for better or for worse.","A window of blue afternoon sky is getting nearer, and from experience we know that it might be only a matter of minutes before the rain starts again. In only a week, late summer has turned into autumn, the rain crystallizing above us, capping the black mountains with a fine layer of white snow. In front of the picturesque lineup we pitch our tents on wet grass, sheltered by the cliff wall on one side and some old fishing sheds. Neoprene is hung to dry after hours in the water, not that it won't still be wet the following morning, but any attempts to make surfing in the Arctic easier count. As dark falls, we make another pot of pesto tortellini and prepare for the night, to the sound of polished rocks rumbling in the shore break below our tents.","Like a faint torch, a striking green hue shines through the tent fabric, disappearing just as quickly. The sound of zippers does its best to penetrate the ocean's roar, as we curiously peek our heads out into the freezing wind. Moments after, we sprint out in sweatpants, cameras in hand to document the fabled phenomenon the past week's cloud layer has prevented us from seeing; the Aurora Borealis. It starts with only the faintest streaks of green and blue, seemingly appearing out of thin air, only to vanish before our eyes have had a chance to adjust to the dark. Every pulse becoming more radiant, and before we know it we are gazing in awe at the dancing curtains, shifting colors under starry skies. After a week of battling the elements, it's as if Mother Nature has decided to treat us with just a taste of the breathtaking beauty she is capable of, as if we have finally proven ourselves worthy. With our jaws still open, we watch on as the mesmerizing curtains of emerald green are veiled in a dark cloud layer, and the winds once again take hold of the bay. The exhibition is over for now, but these islands will stay in our minds forever. See you next time, Lofoten, may the forces of life yet again gravitate us towards your majestic shores, because in the hardship of finding what we came for, something else has emerged.",,,,,,,,,,,,,,,
QnA,/content/we-retail/us/en/community/questions/jcr:content/content/primary/qna.social.json,,,,,,,,,,,,,,,,,,,,,,,,
aaron.mcdonald@mailinator.com,0,Slopeside Jacket,"Is there a waterproof rating for the Slopeside jacket, and are the seams taped?",,,,,,,,,,,,,,,,,,,,,,
jason.werner@dodgit.com,1,Reply,"Aaron, I was in the same boat as you when looking at this jacket. I ended up deciding to just buy the jacket and hope that it came with all the info I needed to make an educated decision and either keep it or send it back for something else. This is what the Slopeside gives you: -Guaranteed waterproof to 10,000 mm -Guaranteed breathability to 10,000 g/m2 -Critically taped 13mm seams Now that's a nice jacket. Needless to say, I kept mine.",iStock_000018314658Small_edit.jpg,,,,,,,,,,,,,,,,,,,,,
weston.mccall@dodgit.com,1,Reply,"I got last season's version of this jacket and took it up the mountain at least 60 times. If this one is anything like the last one, you will be happy with the waterproof rating. I had zero problems with it, even when I got stuck on the lift one time and was sitting/leaning on it for half an hour straight in a snowstorm. That's about all you need.",,,,,,,,,,,,,,,,,,,,,,
james.devore@spambob.com,1,Reply,"Sounds like you're going to hear nothing but greatness about this jacket. I will give the Slopeside my own personal waterproof rating of built like a brick house. I have taken this everywhere from snowboarding to hiking in a downpour to sitting in the rain at an outdoor concert. Not only is it completely waterproof, but also I never get too hot or clammy because it ventilates so well.",,,,,,,,,,,,,,,,,,,,,,
ryan.palmer@spambob.com,1,Reply,I'm happy to hear all of you have great things to say about your jackets because mine was a huge disappointment. The seams leak like crazy. I'm so happy because now I know I got a dud_definitely using my warranty and sending mine back for a replacement.,,,,,,,,,,,,,,,,,,,,,,
aaron.mcdonald@mailinator.com,2,Answer,,,,,,,,,,,,,,,,,,,,,,,
emily.andrews@mailinator.com,0,m2121 pedals,"I would be interested in buying the M2121 pedals, but I need to know what type of cleats they pair with first. Any help?",,,,,,,,,,,,,,,,,,,,,,
josh.bradley@pookmail.com,1,Reply,"The M2121 pedals take a standard MTB cleat. Fortunately, you don't even have to worry about any of that. The pedals are actually packaged with the cleats! All you need to do is buy these pedals and then some MTB compatible shoes. Sometimes, the shoes will come with the cleats as well, depending on the brand. This is handy because you will wear the cleats out. I have the M2121 and this is a picture of my setup.",iStock_000010857602Small.jpg,,,,,,,,,,,,,,,,,,,,,
emily.andrews@mailinator.com,2,Answer,,,,,,,,,,,,,,,,,,,,,,,
andrew.schaeffer@trashymail.com,0,Longirod Trek hiking poles,"I am having trouble with my Longirod Trek hiking poles. I tighten the extension locks as tight as I can, but they still loosen up after only an hour of use. Is there a trick to this that I need to know about? Is this a defect that is covered by my warranty?",,,,,,,,,,,,,,,,,,,,,,
jason.werner@dodgit.com,1,Reply,"I can't really tell with the picture, so you'll have to tell me if the pole extensions have a twist and lock or a lever clamp.",,,,,,,,,,,,,,,,,,,,,,
andrew.schaeffer@trashymail.com,1,Reply,They twist and lock to tighten at two different points on the telescope.,,,,,,,,,,,,,,,,,,,,,,
jason.werner@dodgit.com,1,Reply,"In that case, you may have just bought a pair of poles that can't do what you expect them to, which is to stay tight for an entire hike. The twist and lock poles are kind of an outdated technology as far as poles are concerned. The threads inside the locking mechanism are just asking to get worn out or stripped every time you make an adjustment. It's a catch 22. If you don't tighten the poles tight enough, they don't stay at the height they are supposed to. If you tighten the poles too tight, every time you do the threads will become less effective. I would recommend finding a pair of poles that have the FlickLock system. You simply pull a lever out from the pole to adjust, and then clamp it back down to tighten, much like the quick-release lever on bicycle tires and seats.",,,,,,,,,,,,,,,,,,,,,,
aaron.mcdonald@mailinator.com,1,Reply,"I agree with Jason on this one, except that there are twist and lock poles out there that actually do work and last a long time. They are called $250 poles. But honestly, if you are going to spend the money, get the FlickLock.",,,,,,,,,,,,,,,,,,,,,,
ashley.thompson@spambob.com,1,Reply,"Andrew, we are sorry that you are having trouble with your Longirod Trek poles. The locking mechanism is covered by your warranty. You can either receive a full refund or get replacement poles if yours are defective. We have already emailed you detailed information about getting this issue resolved at your convenience.",,,,,,,,,,,,,,,,,,,,,,
weston.mccall@dodgit.com,1,Reply,"In addition to FlickLock, look into poles with the SLS system. This type of extension has an expander/screw combination that you could lean on with your full body weight, and it's not going to go anywhere. I've been using poles with SLS for a few years now for both summer and winter hiking (my buddy took this picture of me while we were out last time) and I have had zero complaints.",iStock_000019572344Small.jpg,,,,,,,,,,,,,,,,,,,,,
andrew.schaeffer@trashymail.com,2,Answer,,,,,,,,,,,,,,,,,,,,,,,
felicia.carter@trashymail.com,0,Pufferfish fins,"I would like to know the materials used in the Pufferfish fins. Unfortunately, I am allergic to silicone and need to make sure the skirt and strap around the ankle won't be a problem for me.",,,,,,,,,,,,,,,,,,,,,,
aaron.mcdonald@mailinator.com,1,Reply,"The Pufferfish fins do use silicone, so if you have a silicone allergy then we recommend not purchasing this product. We currently do not have a silicone free fin set, but your question has been forwarded to our procurement department so that we can hopefully offer you an alternative in the future.",,,,,,,,,,,,,,,,,,,,,,
josh.bradley@pookmail.com,1,Reply,"One of my kids has a silicone allergy, so fortunately for you I have already done the research on this! If you are out there looking for snorkeling fins, you won't find much in the silicone free department. However, if you look around for SCUBA fins, you will find a pretty decent selection. The SCUBA fins will offer a heel strap that clicks to tighten, and is made entirely of plastic. The only drawback: you will need to wear neoprene dive boots. They are quite comfy and keep your feet warm, but it is another expense.",iStock_000017623596Small.jpg,,,,,,,,,,,,,,,,,,,,,
felicia.carter@trashymail.com,2,Answer,,,,,,,,,,,,,,,,,,,,,,,
donna.billups@pookmail.com,1,Reply,Merci pour toutes ces informations ! Cela m'est tres utile.,,,,,,,,,,,,,,,,,,,,,,
felicia.carter@trashymail.com,1,Reply,"Josh, thanks for the reply. I will definitely look into getting SCUBA fins. I've already accepted the fact that I will have to pay extra on a few things here and there because of my allergy, and this option doesn't sound unreasonable at all. I'm wondering if I can just buy the booties and wear them with silicone snorkeling fins since my skin wouldn't come in contact with the fins at all. Maybe that would save me some money_..",,,,,,,,,,,,,,,,,,,,,,
josh.bradley@pookmail.com,1,Reply,"Felicia, unfortunately that will not work. Snorkeling fins are generally too narrow around the ball of your foot to allow for a bootie. It would be pretty uncomfortable if it were even possible, in my opinion.",,,,,,,,,,,,,,,,,,,,,,
felicia.carter@trashymail.com,1,Reply,Worst customer experience ever on my end. Moving on!,,,,,,,,,,,,,,,,,,,,,,
ashley.thompson@spambob.com,0,Warranty issue,"What do I do if I need to use my warranty, but I can't find my documentation anywhere?",,,,,,,,,,,,,,,,,,,,,,
